Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,Children,Total_Spending,AcceptedCampaigns,TotalPurchases,Cluster,pca_1,pca_2,pca_3,tsne_1,tsne_2,tsne_3,umap_1,umap_2,umap_3
2,4,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,69,4867,0,1617,0,22,3,2.0018707263227555,2.158514640012743,-0.8111462861540565,14.567566,6.6317396,-13.693428,16.408594,4.3215456,2.0999024
2,4,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,72,4317,2,27,0,4,2,-1.5907502418763644,-0.8356323856798645,1.1584675527163266,-4.234518,11.701653,-1.8428184,5.255071,2.663217,4.432798
2,5,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,61,4516,0,776,0,20,1,1.5624011890314062,-0.8902639645431945,0.242549500910259,8.465003,-4.597501,14.54192,6.1205482,7.971148,6.5453176
2,5,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,42,4343,1,53,0,6,2,-1.8139805097038748,-1.2266745499899772,-0.7875891722041627,-17.289156,-4.1573634,6.88113,5.1187596,3.421391,7.5589657
4,3,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,45,4365,1,422,0,14,0,-0.2846484717737156,0.06845044304417694,1.185059453976651,1.7167993,-6.726617,1.479217,4.7379026,5.8448973,6.7420306
3,5,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,59,4497,1,716,0,20,1,0.5619965685795005,0.10185349088638875,0.6339230958260932,3.5175626,-10.446267,12.227296,5.7481956,6.6072187,6.3286524
2,2,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,55,4797,1,590,0,17,0,-0.12515682256641383,1.1816937288257239,-0.07796016672885038,4.9422326,2.27769,-2.1161945,3.7659402,5.539556,5.919098
4,3,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,41,4621,1,169,0,8,2,-1.6402441376902592,0.09486677598493322,-0.7568662421389056,-9.437213,4.740381,3.3318732,5.5157437,4.256603,7.9785895
4,5,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,52,4592,1,46,0,5,2,-1.4819739389225324,0.7218332555401242,-1.7327590930400614,6.444754,17.206085,-13.831369,15.5362425,2.7774045,1.0278395
4,5,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,76,4312,2,49,1,1,2,-4.237794019837553,1.2773946821890738,0.1251427688306892,-21.912151,-11.884007,-3.7536514,4.8144794,3.1118777,8.022874
2,3,51381.5,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,43,4430,1,19,0,3,2,-1.5520530295102508,-1.1428708356936976,-1.1874708825063687,-17.95908,4.458722,6.409592,5.112894,3.43327,8.92981
1,3,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,50,4797,0,61,0,5,2,-2.100596326475248,-0.5772819611331118,-1.8801824018122653,-24.608694,5.0782876,-1.5562805,3.9789782,2.8789234,8.780093
2,2,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,67,4430,0,1102,0,15,1,1.6015562231127236,-1.5204618291609278,0.770041108118564,14.873087,-3.0130315,7.588056,5.7887497,9.116647,7.511162
3,2,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,74,4430,2,310,0,12,0,-0.7565950330522017,0.35588427110336573,1.7032342839154209,-2.9956777,8.393236,1.0111148,5.3180127,2.692427,4.5438056
2,3,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,39,4831,0,46,0,4,2,-1.9644411442810914,-0.4622296809468543,-2.2611958639756176,-23.897795,7.1119423,-2.2878754,4.144731,3.0404315,8.888805
4,4,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,80,4786,0,1315,2,25,3,4.265263518342611,1.5945953080501367,-0.6562603470230942,19.527468,1.1603562,-9.161264,17.266092,4.9603224,2.0008898
2,3,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,46,4756,2,96,0,6,2,-2.204322282838132,0.8010161771714882,-0.4395894621965719,-10.492799,7.692525,-8.748013,4.250233,2.6896434,4.4610925
2,5,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,80,4871,0,317,0,11,0,-0.45040802073109626,0.5223577677997763,0.05198476591605634,-7.719042,-3.1211264,1.3088906,4.0822315,4.4507413,7.102137
3,3,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,77,4662,1,1782,1,24,1,2.637043996202484,0.9600420429428328,1.6318599388049204,14.323341,-0.30244872,3.9000883,4.0510406,7.390013,5.659752
