Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebVisitsMonth,Complain,Response,Age,Customer_Days,Children,Total_Spending,Cluster,AcceptedCampaigns,TotalPurchases
2,4,58138.0,58,3,7,0,1,69,4867,0,1617,1,0,22
2,4,46344.0,38,2,5,0,0,72,4317,2,27,2,0,4
2,5,71613.0,26,1,4,0,0,61,4516,0,776,1,0,20
2,5,26646.0,26,2,6,0,0,42,4343,1,53,2,0,6
4,3,58293.0,94,5,5,0,0,45,4365,1,422,0,0,14
3,5,62513.0,16,2,6,0,0,59,4497,1,716,0,0,20
2,2,55635.0,34,4,6,0,0,55,4797,1,590,0,0,17
4,3,33454.0,32,2,8,0,0,41,4621,1,169,2,0,8
4,5,30351.0,19,1,9,0,1,52,4592,1,46,2,0,5
4,5,5648.0,68,1,20,0,0,76,4312,2,49,2,1,1
2,3,51381.5,11,1,7,0,0,43,4430,1,19,2,0,3
1,3,7500.0,59,1,8,0,0,50,4797,0,61,2,0,5
2,2,63033.0,82,1,2,0,0,67,4430,0,1102,1,0,15
3,2,59354.0,53,3,6,0,0,74,4430,2,310,0,0,12
2,3,17323.0,38,1,8,0,0,39,4831,0,46,2,0,4
4,4,82800.0,23,1,3,0,1,80,4786,0,1315,3,2,25
2,3,41850.0,51,3,8,0,0,46,4756,2,96,2,0,6
2,5,37760.0,20,2,7,0,0,80,4871,0,317,0,0,11
3,3,76995.0,91,2,5,0,0,77,4662,1,1782,1,1,24
0,4,33812.0,86,2,6,0,0,41,4807,1,133,2,0,6
2,3,37040.0,41,1,8,0,0,44,4894,0,316,2,0,11
2,3,2447.0,42,15,1,0,0,47,4743,1,1730,0,0,28
4,3,58607.0,63,3,8,0,0,77,4757,1,972,0,1,14
4,3,65324.0,0,3,4,0,0,72,4373,1,544,0,0,17
2,5,40689.0,69,7,8,0,0,75,4672,1,444,0,0,13
2,4,18589.0,89,2,7,0,0,57,4747,0,75,2,0,6
2,3,53359.0,4,4,7,0,0,50,4602,2,257,2,0,10
2,4,51381.5,19,0,1,0,0,40,4698,1,637,1,0,27
2,3,38360.0,26,2,3,0,0,37,4598,1,131,2,0,7
4,3,84618.0,96,1,2,0,0,61,4423,0,1672,1,1,25
3,2,10979.0,34,2,5,0,0,37,4242,0,30,2,0,6
3,5,38620.0,56,1,3,0,0,63,4618,0,318,2,0,10
2,5,40548.0,31,2,5,0,0,56,4831,1,120,2,1,7
4,2,46610.0,8,6,6,0,1,74,4812,2,302,0,0,11
3,3,68657.0,4,1,7,0,0,80,4698,0,1196,1,0,17
3,4,49389.0,55,1,7,0,0,75,4508,2,65,2,0,5
4,3,67353.0,37,5,2,0,0,56,4384,1,913,0,0,23
0,3,23718.0,76,3,7,0,0,50,4504,1,81,2,0,6
2,6,42429.0,99,2,5,0,0,53,4342,1,67,2,0,5
4,2,48948.0,53,2,6,0,1,83,4717,0,902,3,1,22
2,3,80011.0,3,2,4,0,0,46,4630,1,1395,1,0,19
3,3,20559.0,88,2,8,0,0,41,4678,1,53,2,0,5
2,5,21994.0,4,1,5,0,0,69,4756,1,22,2,0,3
4,4,51381.5,80,1,2,0,0,67,4440,0,186,2,0,8
